brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
0,8,2017,1,24386,4,0,67.3,1.0,12995
0,72,2017,3,11621,4,150,42.8,2.0,24995
0,10,2019,3,3409,4,145,43.5,1.5,20985
0,52,2016,3,30172,0,240,42.2,3.0,31995
0,11,2015,1,27016,0,30,62.8,2.0,13995
0,11,2020,1,7456,4,145,40.9,2.0,31985
0,13,2019,3,20,0,145,55.4,3.0,29490
0,11,2019,3,4781,4,150,40.9,2.0,20495
0,51,2016,3,40254,4,205,40.4,2.0,21995
0,72,2019,3,12320,4,150,40.9,2.0,24995
0,50,2018,1,16534,4,150,49.6,1.4,23995
0,51,2017,3,20075,4,150,42.2,2.0,22995
0,10,2016,1,14401,4,20,60.1,1.0,15995
0,10,2016,3,19430,4,145,47.9,2.0,19995
0,58,2013,3,28359,4,565,26.4,4.2,26995
0,54,2019,3,16385,0,150,33.6,3.0,49995
0,8,2014,1,24764,0,0,74.3,1.6,11995
0,8,2014,1,26141,4,125,53.3,1.4,11995
0,12,2020,3,7532,4,145,39.2,2.0,37331
0,12,2020,3,7925,0,145,45.6,2.0,39454
0,12,2020,3,7639,4,145,39.8,2.0,37507
0,51,2020,3,7914,0,145,48.7,2.0,33462
0,52,2018,3,15706,4,145,40.4,2.0,30995
0,11,2019,1,4598,4,145,38.2,2.0,25990
0,15,2018,3,6588,0,145,48.7,3.0,38995
0,53,2016,3,48248,0,205,47.9,3.0,31995
0,10,2019,3,4549,4,150,34.5,2.0,30995
0,8,2019,1,7564,4,145,51.4,1.0,18995
0,15,2018,3,11276,0,145,48.7,3.0,41995
0,11,2016,1,20141,0,30,67.3,2.0,19995
0,10,2016,1,16555,4,20,60.1,1.4,16995
0,8,2017,1,8608,4,145,67.3,1.0,14495
0,51,2017,1,18380,4,145,49.6,1.4,19995
0,51,2017,3,27136,4,145,40.4,2.0,23995
0,10,2016,1,36409,4,20,60.1,1.4,13995
0,13,2017,3,35219,0,150,50.4,3.0,27995
0,52,2018,3,10252,4,150,40.4,2.0,33995
0,10,2018,1,16380,0,145,67.3,1.6,17490
0,10,2015,3,30530,0,30,64.2,2.0,14990
0,52,2016,3,37129,0,235,42.2,3.0,30995
0,10,2017,1,36400,4,20,61.4,1.4,13995
0,53,2018,3,8618,0,145,32.8,3.0,47995
0,50,2018,1,9634,4,145,50.4,1.4,21995
0,50,2017,3,18355,0,145,68.9,1.6,19995
0,52,2017,3,28604,4,145,40.9,2.0,26995
0,8,2017,1,15187,0,145,76.3,1.6,15995
0,12,2015,3,43417,0,160,50.4,2.0,18990
0,15,2018,3,12195,0,145,50.4,3.0,35995
0,12,2018,3,12686,0,145,58.9,3.0,27995
0,8,2019,3,5356,4,145,44.1,1.5,23995
0,11,2020,3,7963,4,145,41.5,2.0,31265
0,12,2020,3,7423,0,145,51.4,2.0,36312
0,8,2017,1,12148,4,145,67.3,1.0,13995
0,52,2016,3,44525,0,235,42.2,3.0,31995
0,51,2016,1,20952,0,145,55.4,2.0,18495
0,13,2019,3,4582,0,145,39.2,3.0,33490
0,52,2014,1,36970,0,200,47.9,2.0,19995
0,51,2015,1,38244,4,145,49.6,1.4,17995
0,53,2015,3,26407,0,200,47.9,3.0,31995
0,50,2019,1,6484,0,145,49.6,1.6,23995
0,10,2019,1,3325,0,145,49.6,1.6,20995
0,51,2017,3,9078,4,145,40.4,2.0,24995
0,8,2017,1,22427,4,145,67.3,1.0,12995
0,11,2015,3,41755,0,150,53.3,2.0,14995
0,10,2015,3,35455,4,30,58.9,1.4,12490
0,10,2017,1,14607,4,20,60.1,1.0,14298
0,8,2016,1,24952,4,30,55.4,1.4,11498
0,12,2014,1,49640,0,30,64.2,2.0,11998
0,51,2017,1,21576,4,145,49.6,1.4,19998
0,52,2017,3,20870,0,145,55.4,2.0,27995
0,11,2017,3,30300,0,30,62.8,2.0,19995
0,51,2016,1,22353,0,160,49.6,2.0,19995
0,51,2016,3,23205,0,145,55.4,2.0,19995
0,8,2017,1,15361,4,30,55.4,1.4,13995
0,13,2019,3,8598,0,145,47.9,2.0,29995
0,10,2019,3,6000,0,145,52.3,1.6,19990
0,10,2019,3,5199,0,145,52.3,1.6,19990
0,8,2018,1,15092,4,145,57.7,1.4,14995
0,10,2017,3,3059,4,145,43.5,2.0,36990
0,72,2016,3,28475,4,200,40.9,2.0,24995
0,10,2013,1,35804,4,30,54.3,1.4,11490
0,10,2017,1,24000,4,30,60.1,1.4,18495
0,53,2019,3,3264,0,145,33.6,3.0,46990
0,10,2019,3,2868,0,145,52.3,1.6,23995
0,11,2019,3,6541,0,145,47.9,2.0,27990
0,52,2019,3,4511,0,145,38.2,2.0,36990
0,51,2017,3,27057,4,145,47.9,1.4,18995
0,11,2013,1,42185,0,145,55.4,2.0,12990
0,52,2015,3,59120,0,200,47.1,2.0,17995
0,12,2016,3,41431,0,160,52.3,2.0,16498
0,52,2019,3,30,4,145,33.2,2.0,31998
0,52,2019,3,5065,0,145,38.2,2.0,36995
0,52,2019,3,4638,0,145,38.2,2.0,36995
0,60,2017,3,34926,4,325,29.4,4.0,57995
0,50,2018,3,4642,0,145,46.3,1.6,22890
0,13,2015,3,29558,0,20,67.3,2.0,16995
0,13,2019,3,4899,0,145,47.9,2.0,33298
0,10,2017,1,17000,4,20,60.1,1.4,15995
0,11,2017,3,51204,0,145,56.5,2.0,20995
0,10,2013,3,38776,4,30,56.5,1.4,14995
0,51,2017,1,21972,4,145,49.6,1.4,19995
0,72,2018,3,17648,4,145,34.5,2.5,39995
0,50,2017,3,5674,4,145,52.3,1.4,22995
0,12,2017,3,22086,0,145,62.8,2.0,24995
0,15,2019,3,10090,4,145,37.7,3.0,39995
